brewery_id,dc_id,unit_cost
BWY001,DC001,224
BWY001,DC002,198
BWY001,DC003,196
BWY001,DC004,170
BWY001,DC005,170
BWY001,DC006,212
BWY001,DC007,169
BWY001,DC008,344
BWY001,DC009,283
BWY001,DC010,518
BWY001,DC011,458
BWY001,DC012,1452
BWY001,DC013,499
BWY001,DC014,438
BWY001,DC015,443
BWY001,DC016,396
BWY001,DC017,260
BWY001,DC018,248
BWY002,DC001,444
BWY002,DC002,434
BWY002,DC003,356
BWY002,DC004,428
BWY002,DC005,418
BWY002,DC006,399
BWY002,DC007,439
BWY002,DC008,477
BWY002,DC009,463
BWY002,DC010,390
BWY002,DC011,397
BWY002,DC012,875
BWY002,DC013,343
BWY002,DC014,268
BWY002,DC015,361
BWY002,DC016,378
BWY002,DC017,282
BWY002,DC018,310
