sku_id,pt_box_rate,box_volume_rate
SKU001,80.0,0.852
SKU002,52.0,0.96
SKU003,56.0,1.2
SKU004,80.0,0.0
SKU005,56.0,1.2
SKU006,8.0,0.0
SKU007,36.0,1.0
SKU008,70.0,0.6
SKU009,36.0,1.0
SKU010,70.0,0.6
SKU011,56.0,1.2
SKU012,80.0,0.852
SKU013,48.0,0.792
SKU014,56.0,1.2
SKU015,35.0,1.188
SKU016,56.0,1.2
SKU017,480.0,0.0
SKU018,280.0,0.0
SKU019,50.0,1.2
SKU020,56.0,1.1352
SKU021,130.0,0.5
SKU022,10.0,0.0
SKU023,48.0,1.2
SKU024,50.0,0.0
SKU025,48.0,0.0
SKU026,187.0,0.426
SKU027,110.0,0.71
SKU028,10.0,0.0
SKU029,48.0,2.0
SKU030,56.0,1.2
SKU031,42.0,0.99
SKU032,80.0,0.852
SKU033,42.0,0.99
SKU034,80.0,0.852
SKU035,80.0,0.852
SKU036,56.0,1.2
SKU037,36.0,2.0
SKU038,36.0,1.0
SKU039,30.0,1.28
SKU040,60.0,0.768
SKU041,60.0,0.768
SKU042,42.0,0.99
SKU043,130.0,0.5
SKU044,56.0,1.2
SKU045,48.0,0.792
SKU046,80.0,0.852
SKU047,42.0,0.99
SKU048,42.0,0.99
SKU049,48.0,0.792
SKU050,160.0,0.426
SKU051,80.0,0.852
SKU052,80.0,0.852
SKU053,42.0,0.99
SKU054,42.0,0.99
SKU055,42.0,0.99
SKU056,72.0,0.0
SKU057,80.0,0.852
SKU058,48.0,0.792
SKU059,35.0,0.0
SKU060,48.0,0.792
SKU061,48.0,0.792
SKU062,52.0,0.96
SKU063,80.0,0.852
SKU064,52.0,0.96
SKU065,52.0,0.96
SKU066,36.0,1.0
SKU067,70.0,0.6
SKU068,56.0,0.768
SKU069,80.0,0.852
SKU070,40.0,2.0
SKU071,80.0,0.852
SKU072,56.0,1.2
SKU073,50.0,1.2
SKU074,52.0,0.96
SKU075,52.0,0.96
SKU076,36.0,2.0
SKU077,40.0,2.0
SKU078,80.0,0.852
SKU079,56.0,1.2
SKU080,40.0,2.0
SKU081,20000.0,0.0
SKU082,56.0,1.1352
SKU083,50.0,1.2
SKU084,50.0,1.2
SKU085,40.0,2.0
SKU086,48.0,0.792
SKU087,48.0,0.792
SKU088,10.0,0.0
SKU089,80.0,0.852
SKU090,36.0,1.0
SKU091,80.0,0.852
SKU092,56.0,1.2
SKU093,480.0,0.0
SKU094,480.0,0.0
SKU095,80.0,0.792
SKU096,80.0,0.792
SKU097,80.0,0.792
SKU098,80.0,0.852
SKU099,80.0,0.852
SKU100,52.0,0.96
SKU101,52.0,0.96
SKU102,50.0,1.2
SKU103,8.0,0.0
SKU104,56.0,1.2
